Call number,Customer ID,Duration,Representative,Date of Call,Purchase,Rating,Month,Customer ID.1,Gender,Age,City
Call_7362,C0001,55.0,R01,2023-02-05,78.0,4,February,C0001,Male,41.0,Columbus
Call_7363,C0007,135.0,R04,2023-02-07,35.0,5,February,C0007,Female,22.0,Cleveland
Call_7364,C0012,152.0,R02,2023-02-07,123.0,5,February,C0012,Female,28.0,Cincinnati
Call_7365,C0005,132.0,R02,2023-02-07,43.0,5,February,C0005,Male,37.0,Columbus
Call_7366,C0006,60.0,R05,2023-02-08,69.0,4,February,C0006,Male,23.0,Columbus
Call_7367,C0012,95.0,R02,2023-02-08,130.0,5,February,C0012,Female,28.0,Cincinnati
Call_7368,C0003,96.0,R03,2023-02-08,120.0,4,February,C0003,Male,26.0,Cincinnati
Call_7369,C0001,45.0,R05,2023-02-09,84.0,5,February,C0001,Male,41.0,Columbus
Call_7370,C0003,132.0,R03,2023-02-10,112.0,4,February,C0003,Male,26.0,Cincinnati
Call_7371,C0013,95.0,R05,2023-02-10,66.0,5,February,C0013,Female,37.0,Cleveland
Call_7372,C0012,131.0,R01,2023-02-10,172.0,3,February,C0012,Female,28.0,Cincinnati
Call_7373,C0009,67.0,R04,2023-02-11,24.0,4,February,C0009,Female,25.0,Columbus
Call_7374,C0014,111.0,R01,2023-02-12,43.0,4,February,C0014,Female,38.0,Columbus
Call_7375,C0005,78.0,R02,2023-02-12,23.0,5,February,C0005,Male,37.0,Columbus
Call_7376,C0002,28.0,R03,2023-02-12,74.0,4,February,C0002,Male,31.0,Cleveland
Call_7377,C0004,127.0,R04,2023-02-13,165.0,5,February,C0004,Male,36.0,Cincinnati
Call_7378,C0015,137.0,R01,2023-02-13,34.0,3,February,C0015,Female,43.0,Cleveland
Call_7379,C0004,76.0,R03,2023-02-13,64.0,3,February,C0004,Male,36.0,Cincinnati
Call_7380,C0005,80.0,R04,2023-02-14,155.0,3,February,C0005,Male,37.0,Columbus
Call_7381,C0004,95.0,R02,2023-02-15,120.0,5,February,C0004,Male,36.0,Cincinnati
Call_7382,C0006,30.0,R03,2023-02-15,105.0,4,February,C0006,Male,23.0,Columbus
Call_7383,C0011,19.0,R01,2023-02-15,28.0,5,February,C0011,Female,30.0,Cincinnati
Call_7384,C0010,38.0,R04,2023-02-15,100.0,5,February,C0010,Female,30.0,Cleveland
Call_7385,C0013,55.0,R01,2023-02-15,23.0,4,February,C0013,Female,37.0,Cleveland
Call_7386,C0009,27.0,R03,2023-02-16,70.0,4,February,C0009,Female,25.0,Columbus
Call_7387,C0009,32.0,R03,2023-02-16,37.0,2,February,C0009,Female,25.0,Columbus
Call_7388,C0002,116.0,R05,2023-02-16,140.0,4,February,C0002,Male,31.0,Cleveland
Call_7389,C0003,99.0,R02,2023-02-16,78.0,4,February,C0003,Male,26.0,Cincinnati
Call_7390,C0004,75.0,R03,2023-02-17,21.0,4,February,C0004,Male,36.0,Cincinnati
Call_7391,C0005,57.0,R05,2023-02-17,88.0,4,February,C0005,Male,37.0,Columbus
Call_7392,C0007,155.0,R05,2023-02-18,180.0,2,February,C0007,Female,22.0,Cleveland
Call_7393,C0003,68.0,R02,2023-02-18,22.0,3,February,C0003,Male,26.0,Cincinnati
Call_7394,C0010,95.0,R02,2023-02-18,52.0,5,February,C0010,Female,30.0,Cleveland
Call_7395,C0015,65.0,R05,2023-02-19,80.0,4,February,C0015,Female,43.0,Cleveland
Call_7396,C0011,114.0,R01,2023-02-19,54.0,1,February,C0011,Female,30.0,Cincinnati
Call_7397,C0004,155.0,R01,2023-02-20,80.0,4,February,C0004,Male,36.0,Cincinnati
Call_7398,C0015,114.0,R05,2023-02-21,120.0,2,February,C0015,Female,43.0,Cleveland
Call_7399,C0007,130.0,R04,2023-02-21,150.0,1,February,C0007,Female,22.0,Cleveland
Call_7400,C0004,89.0,R05,2023-02-21,90.0,4,February,C0004,Male,36.0,Cincinnati
Call_7401,C0001,61.0,R03,2023-02-22,140.0,3,February,C0001,Male,41.0,Columbus
Call_7402,C0010,154.0,R01,2023-02-22,22.0,3,February,C0010,Female,30.0,Cleveland
Call_7403,C0015,115.0,R04,2023-02-23,150.0,4,February,C0015,Female,43.0,Cleveland
Call_7404,C0008,138.0,R02,2023-02-24,35.0,5,February,C0008,Female,42.0,Cleveland
Call_7405,C0014,153.0,R05,2023-02-24,200.0,2,February,C0014,Female,38.0,Columbus
Call_7406,C0015,61.0,R03,2023-02-25,150.0,5,February,C0015,Female,43.0,Cleveland
Call_7407,C0009,62.0,R05,2023-02-25,21.0,3,February,C0009,Female,25.0,Columbus
Call_7408,C0001,151.0,R04,2023-02-26,46.0,5,February,C0001,Male,41.0,Columbus
Call_7409,C0012,102.0,R01,2023-02-26,165.0,3,February,C0012,Female,28.0,Cincinnati
Call_7410,C0006,64.0,R05,2023-02-26,84.0,4,February,C0006,Male,23.0,Columbus
Call_7411,C0004,6.0,R01,2023-02-27,102.0,4,February,C0004,Male,36.0,Cincinnati
Call_7412,C0006,129.0,R05,2023-02-27,180.0,5,February,C0006,Male,23.0,Columbus
Call_7413,C0009,42.0,R04,2023-02-28,111.0,3,February,C0009,Female,25.0,Columbus
Call_7414,C0009,71.0,R03,2023-02-28,104.0,3,February,C0009,Female,25.0,Columbus
Call_7415,C0005,53.0,R01,2023-02-28,80.0,3,February,C0005,Male,37.0,Columbus
Call_7416,C0011,155.0,R03,2023-03-01,132.0,5,March,C0011,Female,30.0,Cincinnati
Call_7417,C0011,90.0,R04,2023-03-01,170.0,4,March,C0011,Female,30.0,Cincinnati
Call_7418,C0006,166.0,R02,2023-03-01,36.0,4,March,C0006,Male,23.0,Columbus
Call_7419,C0002,89.0,R03,2023-03-01,126.0,4,March,C0002,Male,31.0,Cleveland
Call_7420,C0015,152.0,R01,2023-03-01,215.0,4,March,C0015,Female,43.0,Cleveland
Call_7421,C0002,137.0,R04,2023-03-01,114.0,3,March,C0002,Male,31.0,Cleveland
Call_7422,C0002,43.0,R04,2023-03-01,99.0,5,March,C0002,Male,31.0,Cleveland
Call_7423,C0010,114.0,R04,2023-03-02,23.0,5,March,C0010,Female,30.0,Cleveland
Call_7424,C0014,103.0,R03,2023-03-02,75.0,3,March,C0014,Female,38.0,Columbus
Call_7425,C0002,98.0,R01,2023-03-02,100.0,4,March,C0002,Male,31.0,Cleveland
Call_7426,C0006,106.0,R02,2023-03-02,108.0,4,March,C0006,Male,23.0,Columbus
Call_7427,C0004,96.0,R02,2023-03-02,108.0,5,March,C0004,Male,36.0,Cincinnati
Call_7428,C0014,70.0,R02,2023-03-02,28.0,5,March,C0014,Female,38.0,Columbus
Call_7429,C0009,86.0,R05,2023-03-03,70.0,5,March,C0009,Female,25.0,Columbus
Call_7430,C0005,64.0,R05,2023-03-03,172.0,4,March,C0005,Male,37.0,Columbus
Call_7431,C0004,113.0,R01,2023-03-03,123.0,4,March,C0004,Male,36.0,Cincinnati
Call_7432,C0004,21.0,R02,2023-03-03,93.0,3,March,C0004,Male,36.0,Cincinnati
Call_7433,C0012,107.0,R05,2023-03-03,66.0,4,March,C0012,Female,28.0,Cincinnati
Call_7434,C0012,131.0,R02,2023-03-03,39.0,2,March,C0012,Female,28.0,Cincinnati
Call_7435,C0003,11.0,R03,2023-03-03,25.0,2,March,C0003,Male,26.0,Cincinnati
Call_7436,C0001,86.0,R01,2023-03-03,68.0,3,March,C0001,Male,41.0,Columbus
Call_7437,C0005,28.0,R03,2023-03-03,84.0,3,March,C0005,Male,37.0,Columbus
Call_7438,C0011,139.0,R02,2023-03-04,88.0,3,March,C0011,Female,30.0,Cincinnati
Call_7439,C0006,82.0,R01,2023-03-04,93.0,3,March,C0006,Male,23.0,Columbus
Call_7440,C0004,101.0,R03,2023-03-04,128.0,5,March,C0004,Male,36.0,Cincinnati
Call_7441,C0005,75.0,R04,2023-03-04,40.0,3,March,C0005,Male,37.0,Columbus
Call_7442,C0010,40.0,R03,2023-03-05,92.0,5,March,C0010,Female,30.0,Cleveland
Call_7443,C0002,86.0,R02,2023-03-05,27.0,4,March,C0002,Male,31.0,Cleveland
Call_7444,C0007,131.0,R05,2023-03-05,140.0,4,March,C0007,Female,22.0,Cleveland
Call_7445,C0012,67.0,R01,2023-03-05,40.0,5,March,C0012,Female,28.0,Cincinnati
Call_7446,C0008,71.0,R03,2023-03-05,102.0,5,March,C0008,Female,42.0,Cleveland
Call_7447,C0007,113.0,R05,2023-03-05,42.0,4,March,C0007,Female,22.0,Cleveland
Call_7448,C0006,53.0,R02,2023-03-06,210.0,4,March,C0006,Male,23.0,Columbus
Call_7449,C0007,153.0,R01,2023-03-06,34.0,3,March,C0007,Female,22.0,Cleveland
Call_7450,C0012,73.0,R04,2023-03-06,215.0,4,March,C0012,Female,28.0,Cincinnati
Call_7451,C0009,62.0,R04,2023-03-06,32.0,1,March,C0009,Female,25.0,Columbus
Call_7452,C0011,115.0,R02,2023-03-07,48.0,5,March,C0011,Female,30.0,Cincinnati
Call_7453,C0007,69.0,R02,2023-03-07,132.0,4,March,C0007,Female,22.0,Cleveland
Call_7454,C0002,103.0,R05,2023-03-07,172.0,4,March,C0002,Male,31.0,Cleveland
Call_7455,C0002,75.0,R05,2023-03-07,111.0,3,March,C0002,Male,31.0,Cleveland
Call_7456,C0013,92.0,R05,2023-03-07,58.0,4,March,C0013,Female,37.0,Cleveland
Call_7457,C0013,41.0,R04,2023-03-07,68.0,4,March,C0013,Female,37.0,Cleveland
Call_7458,C0002,134.0,R01,2023-03-07,160.0,4,March,C0002,Male,31.0,Cleveland
Call_7459,C0001,80.0,R03,2023-03-07,45.0,3,March,C0001,Male,41.0,Columbus
Call_7460,C0008,103.0,R02,2023-03-08,117.0,3,March,C0008,Female,42.0,Cleveland
Call_7461,C0006,20.0,R05,2023-03-09,22.0,2,March,C0006,Male,23.0,Columbus
Call_7462,C0008,75.0,R03,2023-03-09,195.0,3,March,C0008,Female,42.0,Cleveland
Call_7463,C0013,80.0,R01,2023-03-09,168.0,4,March,C0013,Female,37.0,Cleveland
Call_7464,C0007,85.0,R04,2023-03-10,46.0,5,March,C0007,Female,22.0,Cleveland
Call_7465,C0004,155.0,R05,2023-03-10,164.0,3,March,C0004,Male,36.0,Cincinnati
Call_7466,C0007,63.0,R04,2023-03-10,48.0,5,March,C0007,Female,22.0,Cleveland
Call_7467,C0005,105.0,R02,2023-03-10,96.0,5,March,C0005,Male,37.0,Columbus
Call_7468,C0007,71.0,R04,2023-03-10,105.0,4,March,C0007,Female,22.0,Cleveland
Call_7469,C0004,100.0,R04,2023-03-11,44.0,4,March,C0004,Male,36.0,Cincinnati
Call_7470,C0003,93.0,R01,2023-03-11,132.0,4,March,C0003,Male,26.0,Cincinnati
Call_7471,C0005,84.0,R05,2023-03-11,54.0,4,March,C0005,Male,37.0,Columbus
Call_7472,C0001,56.0,R03,2023-03-11,129.0,2,March,C0001,Male,41.0,Columbus
Call_7473,C0001,63.0,R04,2023-03-11,42.0,4,March,C0001,Male,41.0,Columbus
Call_7474,C0009,83.0,R04,2023-03-11,42.0,4,March,C0009,Female,25.0,Columbus
Call_7475,C0013,134.0,R05,2023-03-11,180.0,3,March,C0013,Female,37.0,Cleveland
Call_7476,C0011,73.0,R04,2023-03-12,34.0,5,March,C0011,Female,30.0,Cincinnati
Call_7477,C0008,6.0,R03,2023-03-12,29.0,5,March,C0008,Female,42.0,Cleveland
Call_7478,C0012,46.0,R02,2023-03-12,165.0,3,March,C0012,Female,28.0,Cincinnati
Call_7479,C0008,121.0,R04,2023-03-13,32.0,4,March,C0008,Female,42.0,Cleveland
Call_7480,C0001,61.0,R01,2023-03-13,160.0,5,March,C0001,Male,41.0,Columbus
Call_7481,C0013,144.0,R05,2023-03-13,140.0,4,March,C0013,Female,37.0,Cleveland
Call_7482,C0012,145.0,R05,2023-03-13,136.0,4,March,C0012,Female,28.0,Cincinnati
Call_7483,C0005,85.0,R03,2023-03-13,66.0,3,March,C0005,Male,37.0,Columbus
Call_7484,C0012,13.0,R01,2023-03-14,63.0,4,March,C0012,Female,28.0,Cincinnati
Call_7485,C0003,142.0,R04,2023-03-14,44.0,4,March,C0003,Male,26.0,Cincinnati
Call_7486,C0013,28.0,R02,2023-03-14,78.0,4,March,C0013,Female,37.0,Cleveland
Call_7487,C0013,119.0,R04,2023-03-14,20.0,4,March,C0013,Female,37.0,Cleveland
Call_7488,C0008,65.0,R03,2023-03-14,84.0,2,March,C0008,Female,42.0,Cleveland
Call_7489,C0002,68.0,R03,2023-03-14,32.0,5,March,C0002,Male,31.0,Cleveland
Call_7490,C0009,72.0,R02,2023-03-14,132.0,3,March,C0009,Female,25.0,Columbus
Call_7491,C0009,63.0,R05,2023-03-14,105.0,3,March,C0009,Female,25.0,Columbus
Call_7492,C0004,139.0,R04,2023-03-15,48.0,5,March,C0004,Male,36.0,Cincinnati
Call_7493,C0013,59.0,R04,2023-03-15,64.0,4,March,C0013,Female,37.0,Cleveland
Call_7494,C0006,138.0,R05,2023-03-15,44.0,4,March,C0006,Male,23.0,Columbus
Call_7495,C0004,47.0,R02,2023-03-15,120.0,3,March,C0004,Male,36.0,Cincinnati
Call_7496,C0006,74.0,R02,2023-03-15,144.0,5,March,C0006,Male,23.0,Columbus
Call_7497,C0009,65.0,R02,2023-03-15,87.0,3,March,C0009,Female,25.0,Columbus
Call_7498,C0011,123.0,R03,2023-03-15,36.0,4,March,C0011,Female,30.0,Cincinnati
Call_7499,C0009,90.0,R04,2023-03-16,72.0,5,March,C0009,Female,25.0,Columbus
Call_7500,C0001,127.0,R05,2023-03-16,150.0,4,March,C0001,Male,41.0,Columbus
Call_7501,C0014,60.0,R02,2023-03-16,68.0,4,March,C0014,Female,38.0,Columbus
Call_7502,C0004,94.0,R05,2023-03-16,99.0,5,March,C0004,Male,36.0,Cincinnati
Call_7503,C0011,54.0,R02,2023-03-16,26.0,5,March,C0011,Female,30.0,Cincinnati
Call_7504,C0009,104.0,R02,2023-03-16,88.0,3,March,C0009,Female,25.0,Columbus
Call_7505,C0007,100.0,R02,2023-03-16,124.0,3,March,C0007,Female,22.0,Cleveland
Call_7506,C0006,84.0,R02,2023-03-16,72.0,4,March,C0006,Male,23.0,Columbus
Call_7507,C0003,92.0,R01,2023-03-17,125.0,5,March,C0003,Male,26.0,Cincinnati
Call_7508,C0010,64.0,R05,2023-03-17,22.0,4,March,C0010,Female,30.0,Cleveland
Call_7509,C0005,89.0,R04,2023-03-18,70.0,5,March,C0005,Male,37.0,Columbus
Call_7510,C0015,40.0,R02,2023-03-18,24.0,4,March,C0015,Female,43.0,Cleveland
Call_7511,C0013,75.0,R03,2023-03-18,32.0,4,March,C0013,Female,37.0,Cleveland
Call_7512,C0001,106.0,R01,2023-03-18,112.0,4,March,C0001,Male,41.0,Columbus
Call_7513,C0010,58.0,R02,2023-03-19,43.0,4,March,C0010,Female,30.0,Cleveland
Call_7514,C0006,84.0,R01,2023-03-19,22.0,4,March,C0006,Male,23.0,Columbus
Call_7515,C0009,140.0,R01,2023-03-19,93.0,4,March,C0009,Female,25.0,Columbus
Call_7516,C0010,67.0,R01,2023-03-19,45.0,4,March,C0010,Female,30.0,Cleveland
Call_7517,C0004,126.0,R01,2023-03-20,96.0,4,March,C0004,Male,36.0,Cincinnati
Call_7518,C0004,89.0,R02,2023-03-20,96.0,3,March,C0004,Male,36.0,Cincinnati
Call_7519,C0005,56.0,R05,2023-03-20,31.0,4,March,C0005,Male,37.0,Columbus
Call_7520,C0011,48.0,R02,2023-03-20,200.0,4,March,C0011,Female,30.0,Cincinnati
Call_7521,C0004,55.0,R05,2023-03-20,99.0,3,March,C0004,Male,36.0,Cincinnati
Call_7522,C0014,88.0,R03,2023-03-20,144.0,3,March,C0014,Female,38.0,Columbus
Call_7523,C0005,102.0,R01,2023-03-21,81.0,4,March,C0005,Male,37.0,Columbus
Call_7524,C0014,155.0,R03,2023-03-21,70.0,4,March,C0014,Female,38.0,Columbus
Call_7525,C0004,63.0,R03,2023-03-21,148.0,5,March,C0004,Male,36.0,Cincinnati
Call_7526,C0007,59.0,R01,2023-03-21,215.0,4,March,C0007,Female,22.0,Cleveland
Call_7527,C0007,144.0,R02,2023-03-21,124.0,4,March,C0007,Female,22.0,Cleveland
Call_7528,C0006,113.0,R04,2023-03-21,168.0,4,March,C0006,Male,23.0,Columbus
Call_7529,C0012,154.0,R05,2023-03-21,90.0,4,March,C0012,Female,28.0,Cincinnati
Call_7530,C0012,58.0,R01,2023-03-22,176.0,4,March,C0012,Female,28.0,Cincinnati
Call_7531,C0011,63.0,R03,2023-03-22,87.0,5,March,C0011,Female,30.0,Cincinnati
Call_7532,C0009,59.0,R02,2023-03-22,128.0,4,March,C0009,Female,25.0,Columbus
Call_7533,C0008,129.0,R03,2023-03-22,120.0,4,March,C0008,Female,42.0,Cleveland
Call_7534,C0002,101.0,R04,2023-03-22,130.0,5,March,C0002,Male,31.0,Cleveland
Call_7535,C0015,154.0,R02,2023-03-22,172.0,3,March,C0015,Female,43.0,Cleveland
Call_7536,C0010,131.0,R02,2023-03-22,58.0,5,March,C0010,Female,30.0,Cleveland
Call_7537,C0007,111.0,R04,2023-03-23,86.0,4,March,C0007,Female,22.0,Cleveland
Call_7538,C0012,142.0,R04,2023-03-24,31.0,4,March,C0012,Female,28.0,Cincinnati
Call_7539,C0005,93.0,R03,2023-03-24,72.0,4,March,C0005,Male,37.0,Columbus
Call_7540,C0012,125.0,R05,2023-03-25,27.0,3,March,C0012,Female,28.0,Cincinnati
Call_7541,C0008,76.0,R02,2023-03-25,110.0,4,March,C0008,Female,42.0,Cleveland
Call_7542,C0006,69.0,R03,2023-03-25,126.0,4,March,C0006,Male,23.0,Columbus
Call_7543,C0009,149.0,R05,2023-03-25,60.0,4,March,C0009,Female,25.0,Columbus
Call_7544,C0012,57.0,R03,2023-03-25,35.0,4,March,C0012,Female,28.0,Cincinnati
Call_7545,C0004,113.0,R02,2023-03-25,81.0,4,March,C0004,Male,36.0,Cincinnati
Call_7546,C0003,160.0,R05,2023-03-25,116.0,3,March,C0003,Male,26.0,Cincinnati
Call_7547,C0011,158.0,R01,2023-03-25,60.0,4,March,C0011,Female,30.0,Cincinnati
Call_7548,C0006,77.0,R05,2023-03-26,130.0,4,March,C0006,Male,23.0,Columbus
Call_7549,C0013,118.0,R04,2023-03-26,99.0,5,March,C0013,Female,37.0,Cleveland
Call_7550,C0015,75.0,R02,2023-03-26,135.0,5,March,C0015,Female,43.0,Cleveland
Call_7551,C0004,103.0,R05,2023-03-26,42.0,3,March,C0004,Male,36.0,Cincinnati
Call_7552,C0006,116.0,R04,2023-03-27,63.0,3,March,C0006,Male,23.0,Columbus
